country,region,province,confirmed_cases,deaths,recovered,fatality_rate
China,CHN,Anhui,2275,7,0,0.0031
China,CHN,Beijing,40774,20,0,0.0005
China,CHN,Chongqing,14715,11,0,0.0007
China,CHN,Fujian,17122,2,0,0.0001
China,CHN,Gansu,1742,2,0,0.0011
China,CHN,Guangdong,103248,10,0,0.0001
China,CHN,Guangxi,13371,2,0,0.0001
China,CHN,Guizhou,2534,2,0,0.0008
China,CHN,Hainan,10483,6,0,0.0006
China,CHN,Hebei,3292,7,0,0.0021
China,CHN,Heilongjiang,6603,18,0,0.0027
China,CHN,Henan,9948,23,0,0.0023
China,CHN,Hong Kong,2876106,13467,0,0.0047
China,CHN,Hubei,72131,4515,0,0.0626
China,CHN,Hunan,7437,4,0,0.0005
China,CHN,Inner Mongolia,8847,1,0,0.0001
China,CHN,Jiangsu,5075,0,0,0.0
China,CHN,Jiangxi,3423,2,0,0.0006
China,CHN,Jilin,40764,5,0,0.0001
China,CHN,Liaoning,3547,2,0,0.0006
China,CHN,Macau,3514,121,0,0.0344
China,CHN,Ningxia,1276,0,0,0.0
China,CHN,Qinghai,782,0,0,0.0
China,CHN,Shaanxi,7326,5,0,0.0007
China,CHN,Shandong,5880,10,0,0.0017
China,CHN,Shanghai,67040,595,0,0.0089
China,CHN,Shanxi,7167,1,0,0.0001
China,CHN,Sichuan,14567,12,0,0.0008
China,CHN,Tianjin,4392,3,0,0.0007
China,CHN,Tibet,1647,0,0,0.0
China,CHN,Xinjiang,3089,3,0,0.001
China,CHN,Yunnan,9743,4,0,0.0004
China,CHN,Zhejiang,11848,1,0,0.0001
China,CHN,Unknown,1521816,82195,0,0.054
Japan,JPN,Aichi,2100094,4285,0,0.002
Japan,JPN,Akita,199130,588,0,0.003
Japan,JPN,Aomori,277922,640,0,0.0023
Japan,JPN,Chiba,1456535,3874,0,0.0027
Japan,JPN,Ehime,314430,683,0,0.0022
Japan,JPN,Fukui,198871,196,0,0.001
Japan,JPN,Fukuoka,1579850,3164,0,0.002
Japan,JPN,Fukushima,401096,826,0,0.0021
Japan,JPN,Gifu,538509,1102,0,0.002
Japan,JPN,Gunma,437760,1077,0,0.0025
Japan,JPN,Hiroshima,796053,1346,0,0.0017
Japan,JPN,Hokkaido,1333535,4532,0,0.0034
Japan,JPN,Hyogo,1461481,3796,0,0.0026
Japan,JPN,Ibaraki,634322,1279,0,0.002
Japan,JPN,Ishikawa,277113,501,0,0.0018
Japan,JPN,Kagawa,251256,613,0,0.0024
Japan,JPN,Kagoshima,439610,877,0,0.002
Japan,JPN,Kanagawa,2207465,4249,0,0.0019
Japan,JPN,Kochi,168352,584,0,0.0035
Japan,JPN,Kumamoto,532492,1292,0,0.0024
Japan,JPN,Kyoto,674377,1645,0,0.0024
Japan,JPN,Mie,457736,1038,0,0.0023
Japan,JPN,Miyagi,534019,938,0,0.0018
Japan,JPN,Miyazaki,318969,773,0,0.0024
Japan,JPN,Nagano,454729,861,0,0.0019
Japan,JPN,Nagasaki,335188,635,0,0.0019
Japan,JPN,Nara,344394,855,0,0.0025
Japan,JPN,Niigata,452535,431,0,0.001
Japan,JPN,Oita,301877,762,0,0.0025
Japan,JPN,Okayama,488838,838,0,0.0017
Japan,JPN,Okinawa,576111,926,0,0.0016
Japan,JPN,Osaka,2818795,8401,0,0.003
Japan,JPN,Port Quarantine,22118,8,0,0.0004
Japan,JPN,Saga,260131,489,0,0.0019
Japan,JPN,Saitama,1790744,3892,0,0.0022
Japan,JPN,Shiga,372032,669,0,0.0018
Japan,JPN,Shimane,166928,296,0,0.0018
Japan,JPN,Shizuoka,862305,1375,0,0.0016
Japan,JPN,Tochigi,419841,1058,0,0.0025
Japan,JPN,Tokushima,165538,411,0,0.0025
Japan,JPN,Tokyo,4323708,7998,0,0.0018
Japan,JPN,Tottori,140744,260,0,0.0018
Japan,JPN,Toyama,235567,312,0,0.0013
Japan,JPN,Unknown,173,0,0,0.0
Japan,JPN,Wakayama,237568,516,0,0.0022
Japan,JPN,Yamagata,224910,355,0,0.0016
Japan,JPN,Yamaguchi,311938,741,0,0.0024
Japan,JPN,Yamanashi,189249,401,0,0.0021
Japan,JPN,Iwate,233500,609,0,0.0026
Canada,CAN,Ontario,1601325,16234,0,0.0101
Canada,CAN,British Columbia,396817,5249,0,0.0132
Canada,CAN,Alberta,629269,5622,0,0.0089
Canada,CAN,Quebec,1320325,18160,0,0.0138
Canada,CAN,New Brunswick,88866,834,0,0.0094
Canada,CAN,Manitoba,154712,2464,0,0.0159
Canada,CAN,Saskatchewan,153651,1890,0,0.0123
Canada,CAN,Grand Princess,13,0,0,0.0
Canada,CAN,Newfoundland and Labrador,54757,318,0,0.0058
Canada,CAN,Prince Edward Island,56523,93,0,0.0016
Canada,CAN,Nova Scotia,140793,794,0,0.0056
Canada,CAN,Northwest Territories,11511,22,0,0.0019
Canada,CAN,Diamond Princess,0,1,0,0.0
Canada,CAN,Yukon,4989,32,0,0.0064
Canada,CAN,Nunavut,3531,7,0,0.002
Canada,CAN,Repatriated Travellers,13,0,0,0.0
France,FRA,,38618509,161512,0,0.0042
France,FRA,St Martin,12271,63,0,0.0051
France,FRA,Saint Barthelemy,5441,6,0,0.0011
France,FRA,French Polynesia,78055,649,0,0.0083
France,FRA,French Guiana,98041,413,0,0.0042
France,FRA,Mayotte,42004,187,0,0.0045
France,FRA,Guadeloupe,201886,1010,0,0.005
France,FRA,Reunion,494595,921,0,0.0019
France,FRA,New Caledonia,80017,314,0,0.0039
France,FRA,Martinique,229020,1092,0,0.0048
France,FRA,Saint Pierre and Miquelon,3452,2,0,0.0006
France,FRA,Wallis and Futuna,3427,7,0,0.002
Germany,DEU,Baden-Wurttemberg,5063979,19297,0,0.0038
Germany,DEU,Bayern,6741523,28680,0,0.0043
Germany,DEU,Berlin,1430661,5564,0,0.0039
Germany,DEU,Brandenburg,1113946,6506,0,0.0058
Germany,DEU,Bremen,303612,968,0,0.0032
Germany,DEU,Hamburg,807013,3614,0,0.0045
Germany,DEU,Hessen,2928587,12436,0,0.0042
Germany,DEU,Mecklenburg-Vorpommern,711570,2770,0,0.0039
Germany,DEU,Niedersachsen,3860773,13718,0,0.0036
Germany,DEU,Nordrhein-Westfalen,8048396,31400,0,0.0039
Germany,DEU,Rheinland-Pfalz,1769913,6971,0,0.0039
Germany,DEU,Saarland,492792,2132,0,0.0043
Germany,DEU,Sachsen,1955828,16814,0,0.0086
